Register_ID;Country;Validation;Began;Ended;Duration in Days;Dead;Displaced;Main cause;Severity;Affected sq km;Magnitude;Longitude of Centroid X;Latitude of Centroid Y;M>6;Total annual floods M>6;M>4;Total annual floods M>4;Date Began;Total floods M>6;Total floods M>4
2728;India;News;14/09/2005;30/09/2005;17;89;550000;Heavy rain;1;374449;6.8;82.54;21.11;1;44;1;103;14/09/2005;622;2295
2727;Afghanistan;News;11/09/2005;12/09/2005;2;12;0;Heavy rain;1;3209;3.81;71.08;34.93;0;43;0;102;11/09/2005;621;2294
2726;China;News;11/09/2005;13/09/2005;3;16;1350000;Tropical cyclone;1;84372;5.4;120.24;30.37;0;43;1;102;11/09/2005;621;2294
2725;Vietnam;News;08/09/2005;01/11/2005;55;69;30000;Monsoonal rain;1;154794;6.93;105.74;10.71;1;43;1;101;08/09/2005;621;2293
2724;France;News;07/09/2005;09/09/2005;3;0;3000;Heavy rain;1;9814;4.47;4.19;44.06;0;42;1;100;07/09/2005;620;2292
2723;Japan;News;04/09/2005;09/09/2005;6;22;301000;Tropical cyclone;1;36825;5.34;131.32;32.35;0;42;1;99;04/09/2005;620;2291
2722;Taiwan;News;01/09/2005;04/09/2005;4;129;1840000;Tropical cyclone;1;188694;5.88;118.55;28.58;0;42;1;98;01/09/2005;620;2290
2721;Nigeria;News;07/08/2005;16/09/2005;41;3;7;Heavy rain;1;159497;6.82;10.91;10.67;1;42;1;97;07/08/2005;620;2289
2720;Australia;News;30/08/2005;03/09/2005;5;0;0;Heavy rain;1;8209;4.61;147.1;-41.55;0;41;1;96;30/08/2005;619;2288
2719;USA;News;29/08/2005;19/09/2005;22;1053;500000;Tropical cyclone;2;50377;6.35;-90.32;30.19;1;41;1;95;29/08/2005;619;2287
2718;India;News;26/08/2005;30/08/2005;5;21;0;Heavy rain;1;12678;4.8;83.21;25.89;0;40;1;94;26/08/2005;618;2286
2717;Mexico;News;21/08/2005;30/08/2005;10;30;10000;Heavy rain;1;242700;6.39;-98.66;18.81;1;40;1;93;21/08/2005;618;2285
2716;Switzerland;News;21/08/2005;26/08/2005;6;12;2500;Heavy rain;2;44953;5.73;9.58;47.49;0;39;1;92;21/08/2005;617;2284
2715;Ethiopia;News;20/08/2005;07/09/2005;19;3;7000;Heavy rain;1;52560;6;38.73;7.35;0;39;1;91;20/08/2005;617;2283
2714;Romania;News;14/08/2005;02/09/2005;20;34;2000;Heavy rain;1;68755;6.14;25.04;46.9;1;39;1;90;14/08/2005;617;2282
2713;Sierra Leone;News;14/08/2005;16/08/2005;3;20;15000;Heavy rain;2;7726;4.67;-11.69;7.42;0;38;1;89;14/08/2005;616;2281
